,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
96,Data Scientist,BoxyCharm,"Toronto, ON",30+ days ago,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,30+ days ago,0,0,0
97,Research Scientist (FT),Waypoint Centre for Mental Health Care,"Penetanguishene, ON",2 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2 days ago,1,0,0
98,Lead Data Scientist - App & Partner Platform,Shopify,"Toronto, ON",30+ days ago,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
99,Data Scientist,Groom & Associates,"Montréal, QC",28 days ago,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
100,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
101,Data Scientist,BOXY CHARM,"Toronto, ON",save job,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,save job,0,0,0
102,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
103,"Data Scientist, for Advanced Analytics with Big Data",Scotiabank,"Toronto, ON",21 hours ago,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,21 hours ago,0,0,0
104,"Principle Data Scientist (Canadian Lead, People Manager)",Ingram Micro,"Toronto, ON",1 day ago,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1 day ago,1,0,0
105,Analyst - Data & Analytics,WestJet,"Calgary, AB",11 days ago,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,11 days ago,1,0,1
106,"Developer, Data Scientist, Segmentation and Media",Bell,"Toronto, ON",8 days ago,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,8 days ago,0,0,0
107,Data Scientist,Capital One,"Toronto, ON",30+ days ago,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
